El cumplimiento de la obligación por pago es,El cumplimiento estricto de la obligación,"El cumplimiento de la obligación de cualquier modo"",""ninguna opción es correcta",Sólo en las obligaciones de dar,Ninguna opción es correcta
Las obligaciones se pueden clasificar en,Todas son correctas,Divisiones e indivisibles,Principales y accesorias,"De dar, hacer y no hacer"
La dación en pago es cuando,Se da otra cosa a cambio de la prestación,Un tercero interviene para el pago de la prestación,Ninguna es correcta,Se van ejecutando pagos parciales
Una obligación se extingue por novación cuando,Se reemplaza la obligación por otra nueva,Ninguna de las anteriores,No se puede cumplir con la obligación.,Una de las partes fallece.
El cumplimiento por compensación se da cuando,Dos sujetos tienen deudas entre ellos y utilizan una para compensar la otra,Todas son correctas,Se compensa al acreedor entregandole,"No se puedo pagar la deuda y se compensa ala acreedor de otro modo, exclusivamente."
Las obligaciones,Siempre tienen una causa,Siempre tienen una contraprestación,Siempre están basadas en el derecho positivo,Todas son correctas
Las obligaciones simplemente mancomunidad pueden reclamarse,A cada sujeto por la parte que le corresponde,A algunos sujetos por la totalidad de la deuda.,A cualquiera de los sujetos por la totalidad de la deuda.,Ninguna es correcta.
Una obligación se extingue por confusión cuando,Por a alguna razón el acreedor y el deudor pasan a ser la misma persona.,No está claramente definida cuál es la prestación.,No está claramente definida quien es el acreedor.,Ninguna es correcta.
El cumplimiento por compensación se da cuando,Dos sujetos tienen deudas entre ellos y utilizan una para compensar la otra.,"No se puedo pagar la deuda y se compensa ala acreedor de otro modo, exclusivamente.",Se compensa al acreedor entregandole otro bien a cambio de la prestación,Todas son correctas
La extinción de una obligación por imposibilidad de pago se produce cuando,El cumplimiento de la obligación no se puede llevar a cabo por fuerza mayor o caso fortuito.,El deudor quiebra.,Ninguna de las anteriores,Fallecimiento del acreedor
La sociedad de responsabilidad limitada tiene un maximo de 50 socios,VERDADERO,FALSO,-,-
La participación de los socios de una srl es mediante cuotas,VERDADERO,FALSO,-,-
Una sociedad anónima puede pagarle a sus empleados con acciones,FALSO,VERDADERO,-,-
La sa se inicia con el 50% del capital social,FALSO,VERDADERO,-,-
